Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gamonales, J.M., León, K., Rojas-Valverde, D., Sánchez-Ureña, B., Muñoz-Jiménez, J.","57202511630; 57202515097; 57193240720; 56737120700; 57202402611","Data mining to select relevant variables influencing external and internal workload of elite blind 5-A-side soccer",2021,"International Journal of Environmental Research and Public Health",18,"6", 3155,1,11,,3,10.3390/ijerph18063155,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102656025&partnerID=40&md5=a7e80055d99281d8f0ee55d799003aca",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102656025
"Domínguez, L.G., Montenegro, V.M., Bermúdez, S.E.","57045465100; 6603226444; 23003298100","Morphologic abnormalities in Amblyomma mixtum, Amblyomma naponense, Amblyomma cf. oblongoguttatum and Amblyomma tapirellum (Acari: Ixodidae) of Costa Rica",2021,"Systematic and Applied Acarology",26,"3",,509,518,,,10.11158/saa.26.3.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102342001&partnerID=40&md5=87938833498636e90c36fe2b6edc7d58",Article,Final,"",Scopus,2-s2.0-85102342001
"Pino-Ortega, J., Rojas-Valverde, D., Gómez-Carmona, C.D., Rico-González, M.","36343991000; 57193240720; 57199400943; 57211447357","Training design, performance analysis and talent identification—a systematic review about the most relevant variables through the principal component analysis in soccer, basketball and rugby",2021,"International Journal of Environmental Research and Public Health",18,"5", 2642,1,18,,15,10.3390/ijerph18052642,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101981644&partnerID=40&md5=1046eda654c8731aace56c43db6221d9",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85101981644
"Tisseaux-Navarro, A., Salazar-Ceciliano, J.P., Cambronero-Solano, S., Vargas-Hernández, J.M., Marquez, X.","57222000741; 57194250380; 57201078643; 56439449900; 57222000542","Reverse circulation in Bahía Santa Elena, North Pacific of Costa Rica",2021,"Regional Studies in Marine Science",43,"", 101671,,,,2,10.1016/j.rsma.2021.101671,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100872321&partnerID=40&md5=fb00a9901ceb9c361c474c42f4aa5b67",Article,Final,"",Scopus,2-s2.0-85100872321
"Cabrera-Campos, I., Carballo-Morales, J.D., Saldaña-Vázquez, R.A., Villalobos, F., Ayala-Berdon, J.","57217169596; 57221232957; 34768969200; 8521308500; 24073154900","Body mass explains digestive traits in small vespertilionid bats",2021,"Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology",191,"2",,427,438,,1,10.1007/s00360-021-01348-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100716574&partnerID=40&md5=b3dd0132eea53f9cec40e10c67e59bab",Article,Final,"",Scopus,2-s2.0-85100716574
"Pérez-Molina, J.P., Picoli, E.A.D.T., Oliveira, L.A., Silva, B.T., de Souza, G.A., Rufino, J.L.D.S., Pereira, A.A., Ribeiro, M.D.F., Malvicini, G.L., Turello, L., D́Alessandro, S.C., Sakiyama, N.S., Ferreira, W.P.M.","55505694200; 8246225100; 57216751470; 57218870971; 56870906800; 57194759031; 16679594900; 57218870312; 25028123200; 57193791009; 57221618702; 23986243800; 35974778800","Treasured exceptions: Association of morphoanatomical leaf traits with cup quality of Coffea arabica L. cv. “Catuaí”",2021,"Food Research International",141,"", 110118,,,,,10.1016/j.foodres.2021.110118,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099623780&partnerID=40&md5=4928b68ce4aea33766e8d1febfc00065",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85099623780
"Wolfel, A., Chacón, D., Romero, M.R., Valente, M., Mattea, F.","57189216824; 57189463797; 23493653600; 36462749400; 24512800200","Synthesis of a metal chelating monomer for radiation polymer dosimetry",2021,"Radiation Physics and Chemistry",180,"", 109295,,,,,10.1016/j.radphyschem.2020.109295,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097356572&partnerID=40&md5=aaa1837973dddb42581170fd32047904",Article,Final,"",Scopus,2-s2.0-85097356572
"Valenciano-Salazar, J.A., André, F.J., Soliño, M.","57214668975; 7102504410; 25629068500","Societal awareness of environmental certifications in Costa Rica",2021,"Journal of Cleaner Production",286,"", 124966,,,,3,10.1016/j.jclepro.2020.124966,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096394093&partnerID=40&md5=88dbb7bdd461e75067f229e703ced83c",Article,Final,"",Scopus,2-s2.0-85096394093
"Rojas-Valverde, D., Sánchez-Ureña, B., Gómez-Carmona, C.D., Ugalde-Ramírez, A., Trejos-Montoya, A., Pino-Ortega, J., Gutiérrez-Vargas, R.","57193240720; 56737120700; 57199400943; 57200116306; 57219217331; 36343991000; 57193236110","Detection of neuromechanical acute fatigue-related responses during a duathlon simulation: Is tensiomyography sensitive enough?",2021,"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology",235,"1",,53,61,,2,10.1177/1754337120959736,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091733452&partnerID=40&md5=eac4491bee6551e2704c667430c20202",Article,Final,"",Scopus,2-s2.0-85091733452
"Hernández-Aguirre, C., Mencía-Guevara, A., Rojas-Rojas, K.","57222242612; 57366299400; 57365718400","Young coffee leaves biotransformed by aspergillus oryzae in enriched source of caffeic acid",2021,"Coffee Science",16,"", e161863,,,,,10.25186/cs.v16i.1863,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120799285&partnerID=40&md5=28481d11781d1784fa3f1f3f401e7ac3",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85120799285
"Verce, M., Schoonejans, J., Hernandez Aguirre, C., Molina-Bravo, R., De Vuyst, L., Weckx, S.","57191756225; 57222247646; 57222242612; 10739798700; 55665076000; 6505911242","A Combined Metagenomics and Metatranscriptomics Approach to Unravel Costa Rican Cocoa Box Fermentation Processes Reveals Yet Unreported Microbial Species and Functionalities",2021,"Frontiers in Microbiology",12,"", 641185,,,,6,10.3389/fmicb.2021.641185,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101984838&partnerID=40&md5=cd1b18e693b374042defe06c63863cf1",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85101984838
"Berger, K., Hyland, C., Ames, J.L., Mora, A.M., Huen, K., Eskenazi, B., Holland, N., Harley, K.G.","57195470507; 57194059111; 57198274798; 51764101500; 12785910500; 7005313147; 7102605602; 7003344120","Prenatal exposure to mixtures of phthalates, parabens, and other phenols and obesity in five-year-olds in the chamacos cohort",2021,"International Journal of Environmental Research and Public Health",18,"4", 1796,1,18,,6,10.3390/ijerph18041796,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100638078&partnerID=40&md5=aa88bd00c738f0e0c4e6fbfdd7b16058",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85100638078
"Castillo-Henríquez, L., Castro-Alpízar, J., Lopretti-Correa, M., Vega-Baudrit, J.","57210908273; 57220591748; 57220548196; 8611304200","Exploration of bioengineered scaffolds composed of thermo-responsive polymers for drug delivery in wound healing",2021,"International Journal of Molecular Sciences",22,"3", 1408,1,25,,9,10.3390/ijms22031408,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100000389&partnerID=40&md5=8eea2fd6bc0b8b1efa2690ef9e371d4d",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85100000389
"Garita, C.O., Sánchez, V.B.","57222638185; 57222634451","Indirect learning strategies in university students' EFL development",2021,"Mextesol Journal",45,"1",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103597350&partnerID=40&md5=4f9033658346c1b63ca217be779e0aa7",Article,Final,"",Scopus,2-s2.0-85103597350
"Fuentes-Reinés, J.M., Eslava-Eljaiek, P., Elmoor-Loureiro, L.M.A.","54784387800; 56080690700; 8444844100","First record of Scapholeberis freyi Dumont and Pensaert, 1983 (Crustacea:Anomopoda: Daphniidae) from Colombia | Primer registro de Scapholeberis freyi Dumont and Pensaert, 1983 (Crustacea:Anomopoda: Daphniidae) en Colombia",2021,"Revista Peruana de Biologia",28,"1", e19756,,,,,10.15381/RPB.V28I1.19756,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103077218&partnerID=40&md5=354f4f2ffd33460d6971228e3e6173be",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85103077218
"Vega-Hidalgo, Á., Añino, Y., Krichilsky, E., Smith, A.R., Santos-Murgas, A., Gálvez, D.","57217590091; 57193742958; 57209681550; 57205356833; 57217303514; 16241307900","Correction to: Decline of native bees (Apidae: Euglossa) in a tropical forest of Panama (Apidologie, (2020), 51, 6, (1038-1050), 10.1007/s13592-020-00781-2)",2021,"Apidologie",52,"1",,199,,,,10.1007/s13592-020-00809-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092518640&partnerID=40&md5=772904c7f138249b4113a4f0998f9e39",Erratum,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85092518640
"Zabala, M.E., Gorocito, M., Dietrich, S., Varni, M., Murillo, R.S., Manzano, M., Ceballos, E.","56539549300; 53877542800; 28267735000; 6506825626; 57219271050; 7006064276; 57201448301","Key hydrological processes in the Del Azul Creek basin, sub-humid Pampean Plain",2021,"Science of the Total Environment",754,"", 142258,,,,1,10.1016/j.scitotenv.2020.142258,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091979450&partnerID=40&md5=d7919c4230d167cc5c762144b78c06c5",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85091979450
"Garita-González, G., Villalobos-Murillo, J., Cordero-Esquivel, C., Cabrera-Alzate, S.","57219245248; 57201442382; 57201429621; 57219241636","Key international references for the redesign of a curriculum: Competences for a Computer Science program | Referentes internacionales para el rediseño de un plan de estudios: Competencias para una carrera en Informática",2021,"Uniciencia",35,"1",,169,189,,,10.15359/RU.35-1.11,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091866041&partnerID=40&md5=97e00af1e941112cb59d6b702a9091c0",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85091866041
"Sánchez-Gutiérrez, R., Gómez-Castro, C.","57202865125; 57202871475","Introduction to water quality modeling processes in a subwatershed. The Virilla River case in Costa Rica | Acercamiento a los procesos de modelación de la calidad del agua en una subcuenca. Caso del río Virilla, Costa Rica",2021,"Uniciencia",35,"1",,,,,1,10.15359/RU.35-1.5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091842506&partnerID=40&md5=72b7aa5981c509f2aec8d9508efc2261",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85091842506
"Rodríguez-Pineda, M., Zamora-Araya, J.A.","57214078342; 57211317145","College student dropout: Cohort study about possible causes | Abandono temprano en estudiantes universitarios: Un estudio de cohorte sobre sus posibles causas",2021,"Uniciencia",35,"1",,19,37,,2,10.15359/RU.35-1.2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091663081&partnerID=40&md5=19aa6f4d1002b9ba916a29bd5f34e08f",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85091663081
"Smith, A.","57225135525","Identity between Languages: The case of spanglish in short narratives",2021,"Discourses on Nations and Identities",,"",,271,283,,,10.1515/9783110642018-020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109241474&partnerID=40&md5=910c27633275fa6fa23ef45c615d778a",Book Chapter,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85109241474
"Díaz-Muñoz, C., Van de Voorde, D., Comasio, A., Verce, M., Hernandez, C.E., Weckx, S., De Vuyst, L.","57201130557; 57221671436; 55812575300; 57191756225; 57221673137; 6505911242; 55665076000","Curing of Cocoa Beans: Fine-Scale Monitoring of the Starter Cultures Applied and Metabolomics of the Fermentation and Drying Steps",2021,"Frontiers in Microbiology",11,"", 616875,,,,6,10.3389/fmicb.2020.616875,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099749575&partnerID=40&md5=565e60fd03ad0f2bec22eb846ad6a234",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85099749575
"Alegría, J.P.","57193803882","THE SMARTIFICATION OF PUBLIC ADMINISTRATION: CRITICAL APOSTILLES FROM THE EUROPEAN CASE | LA SMARTIFICACIÓN DE LA ADMINISTRACIÓN PÚBLICA: APOSTILLAS CRÍTICAS A PARTIR DEL CASO EUROPEO",2021,"Cuadernos Salmantinos de Filosofia",48,"",,235,250,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128617127&partnerID=40&md5=dfbdad5c90f88f843a92b55078f7a34e",Article,Final,"",Scopus,2-s2.0-85128617127
"Chacón-Barrantes, S., Murillo-Gutiérrez, A., Rivera-Cerdas, F., Rossel, B.A.","37101091600; 57605731500; 57605986000; 57347010100","Advances in tsunami preparedness at the beginning of the Ocean Decade: the Costa Rica case",2021,"Ocean and Coastal Research",69,"", e21039,,,,,10.1590/2675-2824069.21021scb,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128538988&partnerID=40&md5=69b2f72fe21615798f6ce68287f568d1",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85128538988
"Ruiz, I.H., Carvajal, L.A.F.","57211252055; 57553764900","Analysis of the educational resources used in the course Fundamentals of Informatics in the face of the COVID-19 pandemic",2021,"Proceedings - 2021 16th Latin American Conference on Learning Technologies, LACLO 2021",,"",,486,489,,,10.1109/LACLO54177.2021.00085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85127147340&partnerID=40&md5=8354fad3514a19dd1ba9aa22e7a0b2f0",Conference Paper,Final,"",Scopus,2-s2.0-85127147340
"Rojas, E., Perez, D., Calhoun, J.C., Gomez, L.B., Jones, T., Meneses, E.","57212504506; 57222628209; 55647040300; 55628589294; 55732130900; 36185630500","Understanding Soft Error Sensitivity of Deep Learning Models and Frameworks through Checkpoint Alteration",2021,"Proceedings - IEEE International Conference on Cluster Computing, ICCC",2021-September,"",,492,503,,,10.1109/Cluster48925.2021.00045,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85126022957&partnerID=40&md5=9d877c5cf793e18ebd2e6d9f82df95b0",Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-85126022957
"Van Der Laat, L.V.D., Baldares, R.J.L., Chaves, E.J., Meneses, E.","57205764004; 57271185900; 57191159817; 36185630500","OKSP: A Novel Deep Learning Automatic Event Detection Pipeline for Seismic Monitoring in Costa Rica",2021,"3rd IEEE International Conference on BioInspired Processing, BIP 2021 - Proceedings",,"",,,,,,10.1109/BIP53678.2021.9612832,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85123595579&partnerID=40&md5=e2ecdb45e331a6e7f0bb7bb79aeec412",Conference Paper,Final,"",Scopus,2-s2.0-85123595579
"Méndez-Álvarez, D., Murillo-Gamboa, O., Badilla-Valverde, Y., Hernández-Castro, W.","57194946806; 6602144031; 57206730974; 55535996600","Genetic tolerance to Ceratocystis wilt in melina (Gmelina arborea Roxb.)",2021,"Silvae Genetica",70,"1",,195,204,,,10.2478/sg-2021-0017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122862302&partnerID=40&md5=2edc8734c322efe72ad0b6dbdd3e7b4a",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85122862302
"Blasco, J.M., Moreno, E., Moriyón, I.","7102318831; 7202827718; 7004333011","Efficacy of Brucella abortus S19 and RB51 vaccine strains: A systematic review and meta-analysis",2021,"Transboundary and Emerging Diseases",,"",,,,,,10.1111/tbed.14440,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122681025&partnerID=40&md5=0c9a32e80faa67020c7e1fbb3b49e2d9",Letter,Article in Press,"",Scopus,2-s2.0-85122681025
"Pino-Ortega, J., Hernández-Belmonte, A., Bastida-Castillo, A., Gómez-Carmona, C.D., Rojas-Valverde, D.","36343991000; 57208149702; 57199399804; 57199400943; 57193240720","Accuracy and Reliability of Inertial Devices for Load Assessment during Flywheel Workout | Precisão e confiabilidade dos dispositivos inerciais para avaliação da carga durante o treinamento com polia cônica | Precisión y confiabilidad de los dispositivos inerciales para la evaluación de la carga durante entrenamiento con polea cónica",2021,"MHSalud",19,"1",,,,,,10.15359/MHS.19-1.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122204898&partnerID=40&md5=731b64b3871ce8d3f569d4f60bb7eb9b",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85122204898
"Santos, C.S., Dalmolin, Â.C., Santana dos Santos, M., Barreto dos Santos, R., Lima, T.M., Pérez-Molina, J.P., Mielke, M.S.","57360519100; 55508581300; 57394746200; 57394363200; 57194558807; 55505694200; 34978974200","Morphometry of the fruits of Genipa americana (Rubiaceae): a case study from the southern coast of Bahia, Brazil",2021,"Rodriguesia",72,"", e00652020,,,,1,10.1590/2175-7860202172101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122146747&partnerID=40&md5=32038e2c04c621f987b5c07e642231cc",Article,Final,"",Scopus,2-s2.0-85122146747
"Pequeno, A.P., da Silva, T.M.S., de Oliveira, V.V.G., da Silva, V.A.","55421442500; 36946697500; 55357751200; 13402868600","Hypoglycemic effect and histopathological changes of the ethanolic extract of witheringia solanaceae l'hér fruits",2021,"Journal of Morphological Sciences",38,"",,305,308,,,10.51929/jms.38.52.2021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121041121&partnerID=40&md5=dfe71cdc08840f55af7ca4b208aeacde",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85121041121
"Beita-Carvajal, K.G., Elizondo-Salazar, J.A.","57355907300; 26538568900","Supplementation of dairy cows in production with a coated vitamin B complex | Suplementación de vacas lecheras en producción con un complejo de vitaminas B recubierto1",2021,"Agronomy Mesoamerican",32,"1",,236,248,,,10.15517/am.v32i1.39701,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120056424&partnerID=40&md5=c5d136a98c800a84b5398d15d7d1e6db",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120056424
